When required data will be repartitioned into - 6779 partitions
+------------+-----+
|partition_id|count|
|        2315|   95|
|        2319|   90|
|        2321|  100|
|        2322|   43|
|        2324|   59|
|        2326|   63|
|        2327|  101|
|        2328|   49|
|        2329|   52|
|        2331|   92|
|        2332|   42|
|        2333|   55|
|        2335|   95|
|        2337|   93|
|        2338|   92|
|        2339|   65|
|        2340|   45|
|        2341|   52|
|        2343|   45|
|        2344|   53|
|        2345|   55|
|        2346|   87|
|        2348|   46|
|        2349|   53|
|        2350|  176|
|        2353|   53|
|        2354|   68|
|        2356|   56|
|        2361|   41|
|        2362|   55|
|        2363|   99|
|        2364|   73|
|        2365|   98|
|        2366|   54|
|        2367|   34|
|        2368|   49|
|        2369|   43|
|        2371|  129|
|        2373|   40|
|        2374|  160|
|        2375|   47|
|        2378|  136|
|        2379|   45|
|        2381|   45|
|        2385|   99|
|        2386|   51|
|        2387|   55|
|        2388|  108|
|        2389|   44|
|        2390|   71|
|        2393|   37|
|        2394|   37|
|        2396|  113|
|        2399|  152|
|        2400|  105|
|        2401|   51|
|        2403|  140|
|        2405|  101|
|        2406|  107|
|        2407|   53|
|        2408|   40|
|        2411|   90|
|        2412|   36|
|        2414|  151|
|        2416|  108|
|        2417|   48|
|        2418|   53|
|        2420|  108|
|        2421|   66|
|        2422|   60|
|        2423|   54|
|        2424|   56|
|        2425|  108|
|        2426|   91|
|        2427|   54|
|        2428|   51|
|        2430|   64|
|        2431|   51|
|        2432|   51|
|        2433|  104|
|        2434|   88|
|        2437|   82|
|        2438|  159|
|        2439|   56|
|        2441|  111|
|        2443|  128|
|        2445|   92|
|        2447|   92|
|        2450|   52|
|        2451|   53|
|        2456|   46|
|        2457|   53|
|        2458|   55|
|        2460|   99|
|        2461|  156|
|        2462|  103|
|        2464|   44|
|        2466|  100|
|        2467|  108|
|        2468|   63|
|        2469|   87|
|        2470|  114|
|        2472|   45|
|        2473|   49|
|        2475|   39|
|        2477|  160|
|        2478|  101|
|        2480|   56|
|        2482|  101|
|        2483|  141|
|        2484|   54|
|        2486|   53|
|        2487|   54|
|        2488|   44|
